fix.acid,vol.acid,citric,sugar,chlorides,free.sd,total.sd,density,pH,sulphates,alcohol,label
6.2,0.3,0.26,13.4,0.046,57,206,2,3.17,0.43,9.5,GOOD
6.2,0.18,0.38,1.5,0.028,36,117,2,3.47,0.54,9.7,GOOD
7.7,0.3,0.42,14.3,0.045,45,213,2,3.18,0.63,9.2,BAD
6.8,0.31,0.09,1.4,0.04,56,145,2,3.19,0.46,10,BAD
6.6,0.29,0.39,6.75,0.031,22,98,2,3.15,0.8,12.9,GOOD
7.3,0.26,0.3,9.3,0.05,35,154,2,3.21,0.5,10.4,GOOD
7.4,0.27,0.52,15.7,0.054,36,139,2,3.04,0.62,10.0333333333333,GOOD
8.1,0.26,0.33,11.1,0.052,52.5,158,2,3.03,0.49,10.2,GOOD
7.7,0.69,0.49,1.8,0.115,20,112,2,3.21,0.71,9.3,BAD
6.4,0.2,0.32,3.1,0.041,18,126,2,3.43,0.42,12,GOOD
6.2,0.3,0.3,2.5,0.041,29,82,2,3.31,0.61,11.8,GOOD
6.5,0.33,0.28,6.1,0.018,41,103,2,3.24,0.32,12.2,GOOD
7.4,0.19,0.49,9.3,0.03,26,132,2,2.99,0.32,11,GOOD
8.5,0.24,0.39,10.4,0.044,20,142,2,3.2,0.53,10,GOOD
10.3,0.17,0.47,1.4,0.037,5,33,2,2.89,0.28,9.6,BAD
9.4,0.685,0.11,2.7,0.077,6,31,2,3.19,0.7,10.1,GOOD
7.6,0.32,0.25,9.5,0.03,15,136,2,3.1,0.44,12.1,GOOD
6.6,0.18,0.35,1.5,0.049,49,141,2,3.43,0.85,10.2,GOOD
6,0.22,0.28,1.1,0.034,47,90,1,3.22,0.38,12.6,GOOD
8.9,0.5,0.21,2.2,0.088,21,39,2,3.33,0.83,11.1,GOOD
6.4,0.27,0.49,7.3,0.046,53,206,2,3.24,0.43,9.2,GOOD
7.8,0.21,0.49,1.2,0.036,20,99,2,3.05,0.28,12.1,GOOD
6.1,0.44,0.28,4.25,0.032,43,132,2,3.26,0.47,11.2666666666667,GOOD
7.8,0.28,0.49,1.3,0.046,27,142,2,3.09,0.59,10.2,BAD
8.2,0.15,0.48,2.7,0.052,24,190,2,3.5,0.45,10.9,GOOD
6.9,0.23,0.4,7.5,0.04,50,151,2,3.11,0.27,11.4,GOOD
8.9,0.27,0.28,0.8,0.024,29,128,1,3.01,0.35,12.4,GOOD
6.5,0.22,0.32,2.2,0.028,36,92,2,3.27,0.59,11.9,GOOD
7.7,0.26,0.51,2.6,0.045,26,159,2,3,0.5,11.2,GOOD
6.4,0.22,0.34,1.4,0.023,56,115,1,3.18,0.7,11.7,GOOD
6.4,0.33,0.24,9.8,0.041,29,109,2,3.29,0.47,10.1,GOOD
7,0.12,0.32,7.2,0.058,22,89,2,3.29,0.38,9.2,GOOD
6.5,0.22,0.27,1.6,0.039,36,116,2,3.38,0.57,11,GOOD
6.3,0.305,0.22,16,0.061,26,141,2,3.08,0.5,9.1,BAD
6.6,0.32,0.22,16.7,0.046,38,133,2,3.22,0.67,10.4,GOOD
8.5,0.585,0.18,2.1,0.078,5,30,2,3.2,0.48,9.8,GOOD
6.8,0.91,0.06,2,0.06,4,11,2,3.53,0.64,10.9,BAD
9,0.55,0.3,8.1,0.026,14,71,2,2.94,0.36,11.8,BAD
6.2,0.22,0.2,20.8,0.035,58,184,3,3.11,0.53,9,GOOD
10.2,0.42,0.57,3.4,0.07,4,10,2,3.04,0.63,9.6,BAD
6,0.26,0.42,5.2,0.027,70,178,2,3.4,0.4,12.3,GOOD
7.9,0.32,0.51,1.8,0.341,17,56,2,3.04,1.08,9.2,GOOD
6,0.22,0.25,11.1,0.056,112,177,2,3.08,0.36,9.4,GOOD
6.3,0.68,0.01,3.7,0.103,32,54,2,3.51,0.66,11.3,GOOD
7,0.29,0.33,0.9,0.041,20,117,2,3.21,0.5,11.4,BAD
6.4,0.34,0.23,6.3,0.039,37,143,2,3.19,0.65,10,GOOD
9.6,0.68,0.24,2.2,0.087,5,28,2,3.14,0.6,10.2,BAD
7.7,0.23,0.31,10.7,0.038,59,186,2,3.12,0.55,9.5,GOOD
6,0.34,0.24,5.4,0.06,23,126,2,3.25,0.44,9,GOOD
7,0.22,0.28,10.6,0.039,32,117,2,3.05,0.55,11.5,GOOD
10.5,0.39,0.46,2.2,0.075,14,27,2,3.06,0.84,11.4,GOOD
7.4,0.16,0.3,13.7,0.056,33,168,2,2.9,0.44,8.7,GOOD
7.1,0.23,0.39,13.7,0.058,26,172,2,2.9,0.46,9,GOOD
6.2,0.24,0.22,7.9,0.053,45,149,2,3.23,0.52,9.3,BAD
8.3,0.21,0.41,2.2,0.05,24,108,2,2.85,0.45,9.5,BAD
6,0.2,0.33,1.1,0.039,45,126,2,3.31,0.45,11.6,GOOD
6.8,0.23,0.31,2.8,0.047,40,122,2,3.06,0.64,10.9,GOOD
7.4,0.2,0.28,9.1,0.047,29,95,2,3.16,0.47,9.8,GOOD
7.3,0.23,0.41,14.6,0.048,73,223,2,3.16,0.71,9.4,GOOD
6.4,0.33,0.24,1.6,0.054,25,117,2,3.36,0.5,9.3,BAD
9.4,0.27,0.53,2.4,0.074,6,18,2,3.2,1.13,12,GOOD
9.4,0.3,0.56,2.8,0.08,6,17,2,3.15,0.92,11.7,GOOD
6.1,0.28,0.16,1.3,0.06,36,126,2,3.13,0.46,8.7,GOOD
6.6,0.24,0.3,11.3,0.026,11,77,2,3.13,0.55,12.8,GOOD
9.6,0.5,0.36,2.8,0.116,26,55,2,3.18,0.68,10.9,BAD
5.7,0.24,0.47,6.3,0.069,35,182,2,3.11,0.46,9.73333333333333,BAD
6,0.28,0.52,6.2,0.028,37,104,2,3.28,0.51,11.8,GOOD
5.4,0.74,0,1.2,0.041,16,46,2,4.01,0.59,12.5,GOOD
6,0.33,0.2,1.8,0.031,49,159,2,3.41,0.53,11,GOOD
6.6,0.24,0.38,8,0.042,56,187,2,3.21,0.46,9.2,BAD
6.7,0.23,0.31,2.1,0.046,30,96,2,3.33,0.64,10.7,GOOD
8.6,0.635,0.68,1.8,0.403,19,56,2,3.02,1.15,9.3,BAD
7.1,0.875,0.05,5.7,0.082,3,14,2,3.4,0.52,10.2,BAD
6.4,0.14,0.28,7.9,0.057,21,82,2,3.26,0.36,10,GOOD
7.3,0.74,0.08,1.7,0.094,10,45,2,3.24,0.5,9.8,BAD
5.8,0.28,0.3,3.9,0.026,36,105,1,3.26,0.58,12.75,GOOD
6.9,0.28,0.37,9.1,0.037,16,76,2,3.05,0.54,11.1,BAD
7,0.32,0.29,7.6,0.025,35,124,2,3.15,0.65,12.8,GOOD
8.1,0.19,0.4,0.9,0.037,73,180,2,3.06,0.34,10,GOOD
7.5,0.26,0.25,1.7,0.038,29,129,2,3.45,0.56,10.4,GOOD
6.8,0.22,0.37,1.7,0.036,38,195,2,3.35,0.72,12.5,GOOD
7.3,0.22,0.37,15.5,0.048,70,203,2,3.25,0.77,9.4,BAD
6.5,0.115,0.29,1.95,0.038,73,166,1,3.12,0.25,12.9,GOOD
10.9,0.21,0.49,2.8,0.088,11,32,2,3.22,0.68,11.7,GOOD
6.3,0.33,0.2,5.8,0.04,24,144,2,3.15,0.63,9.9,BAD
6.1,0.3,0.3,2.1,0.031,50,163,1,3.39,0.43,12.7,GOOD
6.3,0.39,0.16,1.4,0.08,11,23,2,3.34,0.56,9.3,BAD
7.8,0.28,0.31,2.1,0.046,28,208,2,3.23,0.64,9.8,BAD
10.4,0.64,0.24,2.8,0.105,29,53,2,3.24,0.67,9.9,BAD
5.6,0.3,0.1,6.4,0.043,34,142,2,3.14,0.48,9.8,BAD
8.4,0.3,0.25,17.75,0.047,25,218,3,2.98,0.66,9.1,BAD
7.7,0.43,0.28,4.5,0.046,33,102,2,3.16,0.56,12.2,GOOD
5.9,0.2,0.4,1.3,0.047,23,92,2,3.2,0.45,10,GOOD
7,0.35,0.17,1.1,0.049,7,119,2,3.13,0.36,9.7,GOOD
5,0.3,0.33,3.7,0.03,54,173,1,3.36,0.3,13,GOOD
6.1,0.58,0.23,2.5,0.044,16,70,2,3.46,0.65,12.5,GOOD
6.5,0.22,0.25,17.1,0.05,44,138,3,3.3,0.37,8.8,BAD
6.4,0.24,0.49,5.8,0.053,25,120,2,3.01,0.98,10.5,GOOD
7.8,0.44,0.28,2.7,0.1,18,95,2,3.22,0.67,9.4,BAD
5.9,0.22,0.45,22.6,0.12,55,122,2,3.1,0.35,12.8,BAD
6.8,0.24,0.29,2,0.044,15,96,2,3.23,0.64,10.4,GOOD
5.6,0.27,0.37,0.9,0.025,11,49,1,3.29,0.33,13.1,GOOD
5.7,0.26,0.24,17.8,0.059,23,124,2,3.3,0.5,10.1,BAD
7,0.32,0.35,1.5,0.039,24,125,2,3.17,0.64,12.2,GOOD
7.4,0.55,0.22,2.2,0.106,12,72,2,3.05,0.63,9.2,BAD
7.4,0.21,0.27,1.2,0.041,27,99,2,3.19,0.33,9.8,GOOD
5,1.04,0.24,1.6,0.05,32,96,2,3.74,0.62,11.5,BAD
6.2,0.26,0.19,3.4,0.049,47,172,2,3.14,0.43,10.4,GOOD
6,0.13,0.28,5.7,0.038,56,189.5,2,3.59,0.43,10.6,GOOD
7,0.23,0.42,5.1,0.042,37,144,2,3.5,0.59,10.2,GOOD
8.3,0.22,0.38,14.8,0.054,32,126,3,3.22,0.5,9.7,BAD
7.9,0.25,0.29,5.3,0.031,33,117,2,3.06,0.32,11.8,GOOD
7.3,0.33,0.22,1.4,0.041,40,177,2,3.14,0.48,9.9,BAD
6.5,0.22,0.19,1.1,0.064,36,191,2,3.05,0.5,9.5,GOOD
6.7,0.24,0.41,8.7,0.036,29,148,2,3.22,0.62,9.9,GOOD
7.4,0.25,0.37,2.6,0.05,24,132,2,3.04,0.53,11.2,GOOD
6.2,0.22,0.28,2.2,0.04,24,125,2,3.19,0.48,10.5,GOOD
7.3,0.2,0.44,1.4,0.045,21,98,2,3.15,0.46,10,GOOD
9,0.58,0.25,2.8,0.075,9,104,2,3.23,0.57,9.7,BAD
7.3,0.22,0.49,9.9,0.031,48,161,2,3.01,0.28,11.2,GOOD
11.1,0.18,0.48,1.5,0.068,7,15,2,3.22,0.64,10.1,GOOD
6.9,0.58,0.01,1.9,0.08,40,54,2,3.4,0.73,9.7,BAD
5.5,0.16,0.31,1.2,0.026,31,68,1,3.33,0.44,11.65,GOOD
7,0.27,0.36,20.7,0.045,45,170,3,3,0.45,8.8,GOOD
6.4,0.21,0.28,5.9,0.047,29,101,2,3.15,0.4,11,GOOD
6,0.19,0.37,9.7,0.032,17,50,2,3.08,0.66,12,GOOD
7.4,0.18,0.3,10.4,0.045,44,174,2,3.11,0.57,9.7,GOOD
7.6,0.47,0.49,13,0.239,42,220,2,2.96,0.51,9.2,BAD
6.9,0.19,0.35,5,0.067,32,150,2,3.36,0.48,9.8,BAD
8.7,0.41,0.41,6.2,0.078,25,42,2,3.24,0.77,12.6,GOOD
6.9,0.23,0.33,12.8,0.056,44,169,2,3.42,0.42,9.8,GOOD
6.4,0.79,0.04,2.2,0.061,11,17,2,3.53,0.65,10.4,GOOD
9.5,0.37,0.52,2,0.088,12,51,2,3.29,0.58,11.1,GOOD
6.4,0.42,0.09,2.3,0.054,34,64,2,3.41,0.68,10.4,GOOD
6.8,0.18,0.32,7.2,0.047,17,109,2,3.42,0.44,10.4,GOOD
6.5,0.27,0.19,6.6,0.045,98,175,2,3.16,0.34,10.1,GOOD
7.3,0.32,0.48,13.3,0.06,57,196,2,3.04,0.5,9.2,BAD
6.6,0.22,0.35,1.4,0.05,23,83,2,3.17,0.48,12,GOOD
9.9,0.35,0.41,2.3,0.083,11,61,2,3.21,0.5,9.5,BAD
9.2,0.41,0.5,2.5,0.055,12,25,2,3.34,0.79,13.3,GOOD
7.2,0.34,0.28,10.4,0.108,43,187,2,2.96,0.57,9.4,BAD
7.1,0.2,0.41,2.1,0.054,24,166,2,3.48,0.62,10.5,GOOD
8.1,0.43,0.42,6.6,0.033,36,141,2,2.98,0.39,13.3,GOOD
6.1,0.38,0.2,6.6,0.033,25,137,2,3.3,0.69,10.4,GOOD
6,0.11,0.47,10.6,0.052,69,148,2,2.91,0.34,9.3,BAD
7.3,0.48,0.32,2.1,0.062,31,54,2,3.3,0.65,10,GOOD
6.6,0.22,0.23,17.3,0.047,37,118,2,3.08,0.46,8.8,GOOD
7.2,0.33,0.33,1.7,0.061,3,13,2,3.23,1.1,10,GOOD
6.6,0.5,0.26,11.3,0.029,32,110,2,3.27,0.78,12.9,GOOD
4.8,0.13,0.32,1.2,0.042,40,98,1,3.42,0.64,11.8,GOOD
6.5,0.29,0.31,1.7,0.035,24,79,2,3.27,0.69,11.4,GOOD
8.2,0.35,0.33,2.4,0.076,11,47,2,3.27,0.81,11,GOOD
7.6,0.27,0.25,13.9,0.05,45,199,2,3.34,0.5,9.8,GOOD
6.6,0.5,0.04,2.1,0.068,6,14,2,3.39,0.64,9.4,GOOD
9.4,0.43,0.24,2.8,0.092,14,45,2,3.19,0.73,10,GOOD
9.9,0.35,0.41,2.3,0.083,11,61,2,3.21,0.5,9.5,BAD
6.5,0.19,0.26,5.2,0.04,31,140,2,3.26,0.68,9.5,GOOD
7.6,0.32,0.58,16.75,0.05,43,163,2,3.15,0.54,9.2,BAD
7.4,0.41,0.24,1.8,0.066,18,47,2,3.37,0.62,10.4,BAD
6.8,0.15,0.41,12.9,0.044,79.5,182,2,3.24,0.78,10.2,GOOD
6.8,0.69,0,5.6,0.124,21,58,2,3.46,0.72,10.2,BAD
6.4,0.125,0.29,5.85,0.042,24,99,2,3.23,0.32,12,GOOD
6.1,0.32,0.25,1.8,0.086,5,32,2,3.36,0.44,10.1,BAD
6.9,0.54,0.32,13.2,0.05,53,236,2,3.2,0.5,9.6,BAD
5.8,0.23,0.27,1.8,0.043,24,69,2,3.38,0.31,9.4,GOOD
8.4,0.56,0.04,2,0.082,10,22,2,3.22,0.44,9.6,BAD
11.4,0.26,0.44,3.6,0.071,6,19,2,3.12,0.82,9.3,GOOD
8,0.81,0.25,3.4,0.076,34,85,2,3.19,0.42,9.2,BAD
11.9,0.38,0.51,2,0.121,7,20,2,3.24,0.76,10.4,GOOD
7,0.54,0,2.1,0.079,39,55,2,3.39,0.84,11.4,GOOD
6.7,0.28,0.28,2.4,0.012,36,100,2,3.26,0.39,11.7,GOOD
6.7,0.4,0.22,8.8,0.052,24,113,2,3.22,0.45,9.4,BAD
7.4,0.27,0.26,11.8,0.053,55,173,2,3.11,0.6,9.8,BAD
7,0.25,0.56,2,0.035,20,95,2,3.23,0.53,11,GOOD
6,0.19,0.26,12.4,0.048,50,147,2,3.3,0.36,8.9,GOOD
11.7,0.45,0.63,2.2,0.073,7,23,2,3.21,0.69,10.9,GOOD
8.5,0.23,0.34,1.3,0.035,54,110,2,3.07,0.55,11,GOOD
7.5,0.15,0.38,1.8,0.054,19,101,2,3.24,0.44,10,BAD
7.3,0.28,0.36,12.7,0.04,38,140,2,3.3,0.79,9.6,GOOD
6.7,0.25,0.36,8.6,0.037,63,206,2,3.18,0.5,9.6,BAD
6.7,0.23,0.42,11.2,0.047,52,171,2,3.54,0.74,10.4,BAD
6.5,0.18,0.34,1.6,0.04,43,148,2,3.32,0.59,11.5,GOOD
5.8,0.4,0.42,4.4,0.047,38.5,245,2,3.25,0.57,9.6,GOOD
6.2,0.66,0.48,1.2,0.029,29,75,1,3.33,0.39,12.8,GOOD
7.3,0.24,0.29,1.2,0.037,37,97,2,3.19,0.7,10.1,GOOD
7,0.17,0.33,4,0.034,17,127,2,3.19,0.39,10.6,GOOD
7.2,0.32,0.36,2,0.033,37,114,2,3.1,0.71,12.3,GOOD
6.8,0.29,0.5,13.3,0.053,48,194,2,3.09,0.45,9.4,BAD
6.9,0.38,0.29,13.65,0.048,52,189,2,3,0.6,9.5,GOOD
6,0.3,0.44,1.5,0.046,15,182,2,3.5,0.52,10.4,BAD
7.2,0.19,0.31,1.6,0.062,31,173,2,3.35,0.44,11.7,GOOD
6.9,0.33,0.28,1.3,0.051,37,187,2,3.27,0.6,10.3,BAD
6.9,0.36,0.34,4.2,0.018,57,119,1,3.28,0.36,12.7,GOOD
6.4,0.33,0.44,8.9,0.055,52,164,2,3.1,0.48,9.6,BAD
7.3,0.24,0.34,15.4,0.05,38,174,2,3.03,0.42,9,GOOD
6.9,0.28,0.3,1.6,0.047,46,132,2,3.35,0.38,11.1,GOOD
7.1,0.69,0.08,2.1,0.063,42,52,2,3.42,0.6,10.2,GOOD
8.9,0.4,0.32,5.6,0.087,10,47,2,3.38,0.77,10.5,GOOD
8.8,0.24,0.35,1.7,0.055,13,27,2,3.14,0.59,11.3,GOOD
7.8,0.21,0.49,1.35,0.052,6,48,2,3.15,0.28,11.4,BAD
7,0.28,0.28,1.4,0.039,12,83,2,3.18,0.65,11.1,BAD
6.7,0.41,0.24,5.4,0.035,33,115,2,3.12,0.44,12.8933333333333,GOOD
6.2,0.35,0.2,18.1,0.069,33,158,2,3.15,0.5,8.8,GOOD
5.8,0.36,0.32,1.7,0.033,22,96,1,3.03,0.38,11.2,GOOD
8.6,0.8,0.11,2.3,0.084,12,31,2,3.4,0.48,9.9,BAD
8,0.52,0.03,1.7,0.07,10,35,2,3.34,0.57,10,BAD
7.3,0.17,0.23,6.3,0.051,35,240,2,3.36,0.54,10,GOOD
6.2,0.25,0.44,15.8,0.057,39,167,2,3.14,0.51,9.2,BAD
6.7,0.3,0.5,12.1,0.045,38,127,2,3.04,0.53,8.9,GOOD
7.4,0.19,0.3,1.4,0.057,33,135,2,3.12,0.5,9.6,GOOD
6,0.26,0.15,1.3,0.06,51,154,2,3.14,0.51,8.7,BAD
9.1,0.33,0.38,1.7,0.062,50.5,344,2,3.1,0.7,9.5,BAD
7.4,0.27,0.26,11.8,0.053,55,173,2,3.11,0.6,9.8,BAD
6.8,0.38,0.29,9.9,0.037,40,146,2,3.11,0.37,11.5,GOOD
7.3,0.28,0.54,12.9,0.049,62,152,2,3.06,0.45,9.1,GOOD
7.7,0.275,0.3,1,0.039,19,75,2,3.01,0.56,10.7,BAD
7.5,0.16,0.38,12.7,0.043,70.5,163,2,3.15,0.82,10.4,GOOD
6,0.17,0.36,1.7,0.042,14,61,2,3.22,0.54,10.8,GOOD
6.4,0.36,0.53,2.2,0.23,19,35,2,3.37,0.93,12.4,GOOD
6,0.28,0.27,15.5,0.036,31,134,2,3.19,0.44,13,GOOD
5.3,0.165,0.24,1.1,0.051,25,105,2,3.32,0.47,9.1,BAD
5,0.33,0.23,11.8,0.03,23,158,2,3.41,0.64,11.8,GOOD
6.7,0.19,0.32,3.7,0.041,26,76,2,2.9,0.57,10.5,GOOD
8.2,1,0.09,2.3,0.065,7,37,2,3.32,0.55,9,GOOD
7.8,0.2,0.2,1.4,0.036,25,83,2,3.03,0.46,11.7,GOOD
7.8,0.56,0.19,2,0.081,17,108,2,3.32,0.54,9.5,BAD
15.5,0.645,0.49,4.2,0.095,10,23,3,2.92,0.74,11.1,BAD
8.2,0.2,0.49,3.5,0.057,14,108,2,3.19,0.35,11.5,GOOD
6.6,0.725,0.09,5.5,0.117,9,17,2,3.35,0.49,10.8,GOOD
8,0.59,0.71,17.35,0.038,61,228,2,2.95,0.75,9.3,BAD
6.7,0.11,0.26,14.8,0.053,44,95,2,3.2,0.35,9.8,GOOD
9.2,0.63,0.21,2.7,0.097,29,65,2,3.28,0.58,9.6,BAD
5.8,0.31,0.31,7.5,0.052,55,230,2,3.19,0.46,9.8,BAD
7,0.39,0.21,10.7,0.098,13,91,2,3.03,0.47,9.3,BAD
8.2,0.635,0.1,2.1,0.073,25,60,2,3.29,0.75,10.9,GOOD
7.8,0.52,0.25,1.9,0.081,14,38,2,3.43,0.65,9,GOOD
5.7,0.44,0.13,7,0.025,28,173,2,3.33,0.48,12.5,GOOD
6,0.19,0.26,1.4,0.039,30,104,1,3.32,0.41,12.4,GOOD
6.1,0.21,0.19,1.4,0.046,51,131,2,3.22,0.39,10.5,BAD
7.2,0.23,0.39,1.5,0.053,26,106,2,3.18,0.47,11.1,GOOD
5.8,0.13,0.22,12.7,0.058,24,183,2,3.32,0.42,11.7,GOOD
7.2,0.36,0.46,2.1,0.074,24,44,2,3.4,0.85,11,GOOD
6.9,0.2,0.36,1.5,0.031,38,147,2,3.35,0.56,11,GOOD
6.2,0.37,0.24,6.1,0.032,19,86,1,3.04,0.26,13.4,GOOD
7,0.31,0.31,9.1,0.036,45,140,2,2.98,0.31,12,GOOD
11.6,0.23,0.57,1.8,0.074,3,8,2,3.14,0.7,9.9,GOOD
6.9,0.15,0.29,2.3,0.033,14,82,2,3.1,0.58,11.2,GOOD
6.8,0.21,0.36,18.1,0.046,32,133,2,3.27,0.48,8.8,BAD
7.3,0.31,0.69,10.2,0.041,58,160,2,3.06,0.45,8.6,BAD
7.2,0.34,0.2,5.8,0.062,52,203,2,3.17,0.44,9.8,GOOD
5,0.35,0.25,7.8,0.031,24,116,2,3.39,0.4,11.3,GOOD
8.5,0.16,0.35,1.6,0.039,24,147,2,2.96,0.36,10,BAD
7.4,0.2,0.33,1.9,0.035,39,138,2,3.17,0.44,11.7,GOOD
9,0.2,0.33,3.5,0.049,10,40,2,3.14,0.36,9.8,GOOD
7,0.25,0.33,2.1,0.021,17,76,2,3.26,0.45,12.3,GOOD
7.4,0.64,0.47,14.15,0.168,42,185,2,2.9,0.49,9.3,BAD
9.6,0.38,0.42,1.9,0.071,5,13,2,3.15,0.75,10.5,GOOD
8.2,0.35,0.33,2.4,0.076,11,47,2,3.27,0.81,11,GOOD
7.9,0.57,0.31,2,0.079,10,79,2,3.29,0.69,9.5,GOOD
8,0.39,0.3,1.9,0.074,32,84,2,3.39,0.61,9,BAD
6.3,0.29,0.3,8.1,0.212,60,150,2,3.1,0.4,9.3,BAD
5.4,0.22,0.29,1.2,0.045,69,152,2,3.76,0.63,11,GOOD
6.5,0.32,0.3,2.3,0.051,20,127,1,3.13,0.52,12.8,GOOD
6,0.16,0.3,6.7,0.043,43,153,2,3.63,0.46,10.6,BAD
10.1,0.38,0.5,2.4,0.104,6,13,2,3.22,0.65,11.6,GOOD
6.6,0.25,0.42,11.3,0.049,77,231,2,3.24,0.52,9.5,GOOD
5.4,0.3,0.3,1.2,0.029,25,93,1,3.31,0.4,13.6,GOOD
6.7,0.75,0.12,2,0.086,12,80,2,3.38,0.52,10.1,BAD
5.7,0.46,0.46,1.4,0.04,31,169,2,3.13,0.47,8.8,BAD
7.7,0.35,0.49,8.65,0.033,42,186,2,3.14,0.38,12.4,GOOD
9.3,0.32,0.57,2,0.074,27,65,2,3.28,0.79,10.7,BAD
6.8,0.25,0.29,2,0.042,19,189,2,3.46,0.54,10.2,GOOD
6.4,0.28,0.29,1.6,0.052,34,127,2,3.48,0.56,10.5,GOOD
7.9,0.28,0.49,7.7,0.045,48,195,2,3.04,0.55,11,GOOD
6.8,0.32,0.37,3.4,0.023,19,87,2,3.14,0.53,12.7,GOOD
5.9,0.29,0.25,13.4,0.067,72,160,2,3.33,0.54,10.3,GOOD
5.2,0.24,0.45,3.8,0.027,21,128,2,3.55,0.49,11.2,GOOD
6.6,0.38,0.29,2.9,0.035,15,101,1,3.04,0.37,12.5,GOOD
6.6,0.32,0.24,1.3,0.06,42.5,204,2,3.59,0.51,9.2,BAD
8.4,0.4,0.7,13.1,0.042,29,197,2,3.06,0.64,9.7,BAD
9.7,0.53,0.6,2,0.039,5,19,2,3.3,0.86,12.4,GOOD
6.9,0.39,0.4,4.6,0.022,5,19,2,3.31,0.37,12.6,BAD
6.9,0.23,0.38,8.3,0.047,47,162,2,3.34,0.52,10.5,GOOD
7.3,0.25,0.28,1.5,0.043,19,113,2,3.38,0.56,10.1,GOOD
7.2,0.34,0.32,2.5,0.09,43,113,2,3.32,0.79,11.1,BAD
7.4,0.32,0.27,1.4,0.049,38,173,2,3.03,0.52,9.3,BAD
6.3,0.3,0.24,6.6,0.04,38,141,2,3.22,0.47,9.5,BAD
6.7,0.61,0.21,1.65,0.117,40,240,2,3.11,0.57,9.3,BAD
6.4,0.15,0.36,1.8,0.034,43,150,2,3.42,0.69,11,GOOD
5.5,0.14,0.27,4.6,0.029,22,104,2,3.34,0.44,9,BAD
9.8,0.44,0.4,2.8,0.036,35,167,2,2.97,0.39,9.2,BAD
7.9,0.31,0.22,13.3,0.048,46,212,2,3.47,0.59,10,BAD
8.3,0.25,0.33,2.5,0.053,12,72,2,2.89,0.48,9.5,BAD
6.9,0.33,0.26,5,0.027,46,143,2,3.25,0.43,11.2,GOOD
7.8,0.56,0.12,2,0.082,7,28,2,3.37,0.5,9.4,GOOD
7.4,0.26,0.43,6,0.022,22,125,2,3.13,0.55,11.5,GOOD
7.5,0.6,0.32,2.7,0.103,13,98,2,3.45,0.62,9.5,BAD
6.5,0.28,0.34,3.6,0.04,29,121,2,3.28,0.48,12.1,GOOD
7.3,0.2,0.39,2.3,0.048,24,87,2,2.94,0.35,12,GOOD
6.4,0.15,0.31,1.1,0.044,25,96,2,3.54,0.51,10.3,GOOD
7.2,0.39,0.44,2.6,0.066,22,48,2,3.3,0.84,11.5,GOOD
7,0.4,0.32,3.6,0.061,9,29,2,3.28,0.49,11.3,GOOD
5.7,0.12,0.26,5.5,0.034,21,99,2,3.09,0.57,9.9,GOOD
6.1,0.17,0.21,1.9,0.09,44,130,2,3.07,0.41,9.7,BAD
6.1,0.25,0.28,10,0.055,56,131,2,3.22,0.35,10.9,GOOD
6.9,0.36,0.28,13.55,0.048,51,189,2,3,0.6,9.5,GOOD
6.6,0.29,0.73,2.2,0.027,21,92,2,3.12,0.48,12.4,GOOD
6.7,0.25,0.34,12.85,0.048,30,161,2,3.44,0.47,9.5,GOOD
6.5,0.53,0.06,2,0.063,29,44,2,3.38,0.83,10.3,GOOD
6.1,0.68,0.52,1.4,0.037,32,123,2,3.24,0.45,12,GOOD
7.6,0.63,0.03,2,0.08,27,43,2,3.44,0.64,10.9,GOOD
7.4,0.15,0.42,1.7,0.045,49,154,2,3,0.6,10.4,GOOD
8.2,0.32,0.42,2.3,0.098,3,9,2,3.27,0.55,12.3,GOOD
7.6,0.31,0.29,10.5,0.04,21,145,2,3.04,0.35,9.4,BAD
8,0.23,0.28,2.7,0.048,49,165,2,3.26,0.72,9.5,GOOD
7.2,0.52,0.07,1.4,0.074,5,20,2,3.32,0.81,9.6,GOOD
6.7,0.31,0.32,14.5,0.038,6,79,2,3.14,0.34,12.5,BAD
7,0.16,0.3,2.6,0.043,34,90,2,2.88,0.47,11.2,GOOD
7.9,0.54,0.34,2.5,0.076,8,17,2,3.2,0.72,13.1,GOOD
6.7,0.17,0.27,1.4,0.032,39,149,2,3.4,0.52,10.5,BAD
8.2,0.42,0.29,4.1,0.03,31,100,2,3,0.32,12.8,GOOD
6.4,0.33,0.28,4,0.04,24,81,2,3.26,0.64,12.6,GOOD
7.4,0.19,0.31,14.5,0.045,39,193,2,3.1,0.5,9.2,GOOD
7.4,0.34,0.42,1.1,0.033,17,171,2,3.12,0.53,11.3,GOOD
7.7,0.54,0.26,1.9,0.089,23,147,2,3.26,0.59,9.7,BAD
7.3,0.37,0.16,14.9,0.048,59,240,2,3.13,0.45,8.9,BAD
5.1,0.25,0.36,1.3,0.035,40,78,1,3.23,0.64,12.1,GOOD
7.3,0.2,0.29,19.5,0.039,69,237,3,3.1,0.48,9.2,GOOD
6.6,0.21,0.29,1.8,0.026,35,128,2,3.37,0.48,11.2,GOOD
6.5,0.23,0.25,17.3,0.046,15,110,2,3.15,0.42,9.2,GOOD
5.7,0.25,0.21,1.5,0.044,21,108,2,3.3,0.59,11,GOOD
6.5,0.23,0.45,2.1,0.027,43,104,2,3.02,0.52,11.3,GOOD
